gene,variance
ENSG00000008441,342707137.9206566
ENSG00000008513,63938359.56839947
ENSG00000008516,80492.45595075237
ENSG00000008517,222549422.68618333
ENSG00000008710,17941163.008481532
ENSG00000008735,792467.6039671684
ENSG00000008838,7165461.3625171
ENSG00000008853,3981136.0629274985
ENSG00000008869,1061762.773324213
ENSG00000008952,18419488.527496584
ENSG00000008988,1351936558.997127
ENSG00000009307,265324896.12161416
ENSG00000009335,10919956.234746924
ENSG00000009413,1195032.1982216137
ENSG00000009694,223231.23515731876
ENSG00000009709,3742.876744186044
ENSG00000009724,3392.1303693570458
ENSG00000009765,949.655403556772
ENSG00000009780,136171.33898768807
ENSG00000009790,357668.76839945285
ENSG00000009830,601559.785088919
ENSG00000009844,2605181.5775649794
ENSG00000009950,326879.05950752384
ENSG00000009954,20077314.978932966
ENSG00000010017,2467907.568262654
ENSG00000010030,1162322.5976744178
ENSG00000010072,41537.78276333788
ENSG00000010165,3106879.6880984963
ENSG00000010219,362121.9994528043
ENSG00000010244,16799545.729685362
ENSG00000010256,17247974.75800274
ENSG00000010270,652255.4222982214
ENSG00000010278,186739855.3362517
ENSG00000010282,5422.06908344735
ENSG00000010292,16387114.451573184
ENSG00000010295,1051403.5742818054
ENSG00000010310,51103.76744186046
ENSG00000010318,10554.198221614226
ENSG00000010319,428566.5768809848
ENSG00000010322,22841608.380984947
ENSG00000010327,93501124.223803
ENSG00000010361,633824.9588235294
ENSG00000010379,53768.864705882355
ENSG00000010404,41747324.85595075
ENSG00000010438,1266.842818057453
ENSG00000010539,165188.68673050616
ENSG00000010610,34509659.47414502
ENSG00000010626,283751.2335157318
ENSG00000010671,388380.9389876882
ENSG00000010704,663173.3991792067
ENSG00000010803,6091099.915731875
ENSG00000010810,40378361.24281806
ENSG00000010818,8797526.362380298
ENSG00000010932,1764559.0540355686
ENSG00000011007,3537578.3388508894
ENSG00000011009,7321811.692065664
ENSG00000011021,515419.46279069764
ENSG00000011028,1057299734.3421336
ENSG00000011083,135530.0935704516
ENSG00000011105,20774108.826265387
ENSG00000011114,1703980.9495212033
ENSG00000011132,409949.4545827635
ENSG00000011143,239521.5206566348
ENSG00000011198,1398168.610259918
ENSG00000011201,18072863.415595073
ENSG00000011243,745763.2804377566
ENSG00000011258,923716.5335157319
ENSG00000011260,1211206.8815321473
ENSG00000011275,6155806.489192884
ENSG00000011295,1828476.0344733242
ENSG00000011304,46534995.217099875
ENSG00000011332,18092.414774281802
ENSG00000011347,3464196.8465116275
ENSG00000011376,624135.3564979479
ENSG00000011405,3440002.0154582765
ENSG00000011422,37128545.37469222
ENSG00000011426,25065612.292886455
ENSG00000011451,5096575.441450068
ENSG00000011454,8753189.327633377
ENSG00000011465,5878655894.483312
ENSG00000011478,333252.61792065675
ENSG00000011485,1448772.7124487006
ENSG00000011523,994631.2935704506
ENSG00000011566,655833.5469220243
ENSG00000011590,75328.56908344735
ENSG00000011600,29375015.126265384
ENSG00000011638,2380313.633926129
ENSG00000011677,18316.283036935707
ENSG00000012048,711097.262380301
ENSG00000012061,4352566.542818058
ENSG00000012124,9394903.050068399
ENSG00000012171,227366711.72818053
ENSG00000012174,1802260.9538987693
ENSG00000012211,208357.78057455542
ENSG00000012223,29941923.45731874
ENSG00000012232,34713813.27455539
ENSG00000012504,78776.05088919307
ENSG00000012660,43235560.08153215
ENSG00000012779,4828957.486867304
ENSG00000012817,7144772.810943911
ENSG00000012822,43520410.75677154
ENSG00000012963,1988364.7671682627
ENSG00000012983,2322298.726128591
ENSG00000013016,716894.5030095761
ENSG00000013275,9496547.672229823
ENSG00000013288,6790490.500273598
ENSG00000013293,8253.183036935707
ENSG00000013297,23198922.87674418
ENSG00000013306,18038812.906292748
ENSG00000013364,198759893.29083452
ENSG00000013374,9908077.986867301
ENSG00000013375,5038091.967168262
ENSG00000013392,269628.1876880985
ENSG00000013441,4003172.5161422724
ENSG00000013503,321302.96320109424
ENSG00000013523,492591.83036935714
ENSG00000013561,2170355.714363886
ENSG00000013563,3557205.8768809843
ENSG00000013573,1246777.5383036935
ENSG00000013583,5268106.492065663
ENSG00000013588,1236027293.483037
ENSG00000013619,376624.3968536252
ENSG00000013725,1120046.6686730506
ENSG00000013810,6334103.713406295
ENSG00000014123,2062212.0393980844
ENSG00000014138,789874.6212038305
ENSG00000014164,996390.6134062929
ENSG00000014216,38627513.05458276
ENSG00000014257,38461.7712722298
ENSG00000014641,24523316.244733255
ENSG00000014824,2681456.4618331054
ENSG00000014914,1250660.4170998628
ENSG00000014919,1470957.6880984956
ENSG00000015133,1124143.3774281805
ENSG00000015153,482295.78495212056
ENSG00000015171,7683086.179069769
ENSG00000015285,1057249.803009576
ENSG00000015413,1421515.9339261279
ENSG00000015475,1096453.5649794799
ENSG00000015479,50078758.291792065
ENSG00000015520,6374.545554035566
ENSG00000015532,4607117.0168262655
ENSG00000015568,338606.39521203825
ENSG00000015592,116.06511627906976
ENSG00000015676,16910176.20629275
ENSG00000016082,67610.64733242136
ENSG00000016391,198705.47414500682
ENSG00000016402,215457.4441860464
ENSG00000016490,0.10465116279069829
ENSG00000016602,5.215321477428178
ENSG00000016864,2384818.9050615593
ENSG00000017260,35519451.938850895
ENSG00000017427,2155275.063337893
ENSG00000017483,2236200.0389876883
ENSG00000017797,12710908.092612866
ENSG00000018189,1160133.1481532152
ENSG00000018236,1165192.3162790698
ENSG00000018280,4796771.362653898
ENSG00000018408,44060774.15882353
ENSG00000018510,2322882.285088919
ENSG00000018607,3.2154582763337864
ENSG00000018610,373328.5270861833
ENSG00000018625,310751.32038303686
ENSG00000018699,587239.689876881
ENSG00000018869,27607.83967168263
ENSG00000019102,629212.3545827639
ENSG00000019144,88931200.79192886
ENSG00000019169,31256493.563885093
ENSG00000019186,80702.24514363885
ENSG00000019485,1152717.21874145
ENSG00000019505,194317.9377564979
ENSG00000019549,4283860.815321477
ENSG00000019582,29405106554.433517
ENSG00000019991,101898007.34774284
ENSG00000019995,2163344.905061559
ENSG00000020129,3143689.5848153215
ENSG00000020181,45348837.96238029
ENSG00000020219,6.165800273597814
ENSG00000020256,503585.18590971286
ENSG00000020426,228871.0112175102
ENSG00000020577,3596920.1532147746
ENSG00000020633,2844857.036935705
ENSG00000020922,707893.3991792066
ENSG00000021300,19774056.913406294
ENSG00000021355,91083578.97633378
ENSG00000021461,12.475649794801637
ENSG00000021488,932.0625170998632
ENSG00000021574,798840.0935704514
ENSG00000021645,5493079.328043777
ENSG00000021762,822466.8700410398
ENSG00000021776,2177721.751162791
ENSG00000021826,804190.5506155947
ENSG00000021852,4706.146238030084
ENSG00000022267,164705909.86279064
ENSG00000022277,5646725.052941176
ENSG00000022355,1781.5803009575939
ENSG00000022556,1900626.0745554038
ENSG00000022567,8598424.912722299
ENSG00000022840,47491166.722298205
ENSG00000022976,58695.53556771546
ENSG00000023041,1024047.1158686733
ENSG00000023171,5859739.386046511
ENSG00000023191,122621752.50506157
ENSG00000023228,5259908.887004104
ENSG00000023287,3531098.0641586874
ENSG00000023318,5965698.630369356
ENSG00000023330,2138813.2864569086
ENSG00000023445,38879861.399863206
ENSG00000023516,4164955.3274965812
ENSG00000023572,1010573.2625171001
ENSG00000023608,469455.7227086184
ENSG00000023697,639454.018604651
ENSG00000023734,13833133.735704515
ENSG00000023839,7801.290971272232
ENSG00000023892,1088996.786867305
ENSG00000023902,14652569.409712724
ENSG00000023909,1686059.390971272
ENSG00000024048,1748146.8722298227
ENSG00000024422,138914206.79671687
ENSG00000024526,661607.2744186046
ENSG00000024862,470342.85868673056
ENSG00000025039,409089.8939808479
ENSG00000025156,300701.7932968536
ENSG00000025293,5120614.297127224
ENSG00000025423,206225796.69439122
ENSG00000025434,2713688.367168264
ENSG00000025708,96941191.37742816
ENSG00000025770,6140545.130506153
ENSG00000025772,7171834.58344733
ENSG00000025796,19134446.533105332
ENSG00000025800,14932305.984815326
ENSG00000026025,30853489992.964165
ENSG00000026103,6997297.23898769
ENSG00000026297,7445833.046922027
ENSG00000026508,735488771.7521204
ENSG00000026559,357451.3986320109
ENSG00000026652,842610.53912448755
ENSG00000026751,329293493.1612859
ENSG00000026950,14639893.7116279
ENSG00000027001,278438.2808481531
ENSG00000027075,1940477.5414500686
ENSG00000027644,25253.805335157314
ENSG00000027697,25805158.445006836
ENSG00000027847,2260889.740629275
ENSG00000027869,258849.19124487008
ENSG00000028116,335704.8612859097
ENSG00000028137,25199044.62599178
ENSG00000028203,11108636.045554033
ENSG00000028277,646306.5991792064
ENSG00000028310,1698487.9481532145
ENSG00000028528,17089237.862653896
ENSG00000028839,95865.21039671681
ENSG00000029153,5672323.854582765
ENSG00000029363,7911259.859507522
ENSG00000029364,5399134.414774282
ENSG00000029534,623640.3344733241
ENSG00000029559,138849.43638850885
ENSG00000029639,75191.05239398085
ENSG00000029725,5599048.677428179
ENSG00000029993,3255652.9238030096
ENSG00000030066,4527370.592749659
ENSG00000030110,1690977.4331053358
ENSG00000030304,2407.938303693572
ENSG00000030419,60980.95321477427
ENSG00000030582,411498524.71477425
ENSG00000031003,1452305.32749658
ENSG00000031081,2119662.9554035566
ENSG00000031691,43660.496853625154
ENSG00000031698,17170649.04692203
ENSG00000031823,2587603.179206567
