model_label,threshold,sensitivity,specificity,accuracy
Multiomic Random Forest,0.6900000000000001,0.16666666666666666,0.968421052631579,0.5475
Multiomic Random Forest,0.7000000000000001,0.12380952380952381,0.968421052631579,0.525
Multiomic Random Forest,0.7100000000000001,0.08095238095238096,0.968421052631579,0.5025
Multiomic Random Forest,0.7200000000000001,0.06190476190476191,0.9736842105263158,0.495
Multiomic Random Forest,0.7300000000000001,0.04285714285714286,0.9789473684210527,0.4875
Multiomic Random Forest,0.7400000000000001,0.02857142857142857,0.9789473684210527,0.48
Multiomic Random Forest,0.7500000000000001,0.023809523809523808,0.9842105263157894,0.48
Multiomic Random Forest,0.76,0.01904761904761905,0.9947368421052631,0.4825
Multiomic Random Forest,0.77,0.004761904761904762,1,0.4775
Multiomic Random Forest,0.78,0.004761904761904762,1,0.4775
Multiomic Random Forest,0.79,0,1,0.475
Multiomic Random Forest,0.8,0,1,0.475
Multiomic Random Forest,0.81,0,1,0.475
Multiomic Random Forest,0.8200000000000001,0,1,0.475
Multiomic Random Forest,0.8300000000000001,0,1,0.475
Multiomic Random Forest,0.8400000000000001,0,1,0.475
Multiomic Random Forest,0.8500000000000001,0,1,0.475
Multiomic Random Forest,0.8600000000000001,0,1,0.475
Multiomic Random Forest,0.8700000000000001,0,1,0.475
Multiomic Random Forest,0.8800000000000001,0,1,0.475
Multiomic Random Forest,0.89,0,1,0.475
Multiomic Random Forest,0.9,0,1,0.475
Multiomic Random Forest,0.91,0,1,0.475
Multiomic Random Forest,0.92,0,1,0.475
Multiomic Random Forest,0.93,0,1,0.475
Multiomic Random Forest,0.9400000000000001,0,1,0.475
Multiomic Random Forest,0.95,0,1,0.475
