mtry,splitrule,min.node.size,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
250,gini,1,0.7343948412698414,0.6457142857142857,0.7155555555555557,0.09357889333583116,0.16898997172677935,0.18469785414320025
250,gini,3,0.7430753968253968,0.6507142857142856,0.71,0.09274527843490563,0.16902141815733995,0.1771092029034246
250,gini,5,0.7378174603174602,0.6392857142857141,0.7061111111111111,0.08951779320523608,0.1572037219790983,0.18636832695547026
250,gini,10,0.7362103174603175,0.6392857142857141,0.7005555555555557,0.09083627199579103,0.169172279656218,0.17189335386477467
250,gini,15,0.7390873015873015,0.6392857142857141,0.6961111111111111,0.096326791656813,0.16527908782041453,0.17945354580748932
250,gini,20,0.7323809523809524,0.6392857142857141,0.7005555555555557,0.09854794226967585,0.17297787008000465,0.18290318505395323
400,gini,1,0.7362896825396824,0.6342857142857142,0.7061111111111111,0.09048667230159313,0.15964591985982968,0.18636832695547026
400,gini,3,0.7366021825396826,0.6449999999999999,0.6955555555555557,0.09260418402560629,0.16530481019047463,0.17439268517336187
400,gini,5,0.7375892857142855,0.6285714285714286,0.7005555555555557,0.09339250797744589,0.16447323666247737,0.17777777777777773
400,gini,10,0.7391369047619049,0.6499999999999999,0.7005555555555557,0.09171821254463274,0.17647579857587611,0.16266808337776106
400,gini,15,0.7336309523809524,0.6399999999999999,0.7005555555555556,0.08889763314047394,0.17539435644315596,0.15861532718013382
400,gini,20,0.7373809523809524,0.6399999999999999,0.6872222222222223,0.08589240391638177,0.17164235182138327,0.18487184138376916
