gene,skewness,abs_skewness
ENSG00000284862,1.0605165687819984,1.0605165687819984
ENSG00000113597,1.0596253884626385,1.0596253884626385
ENSG00000273481,1.0591502353232118,1.0591502353232118
ENSG00000236601,1.0560576117871752,1.0560576117871752
ENSG00000169592,1.0559481908983028,1.0559481908983028
ENSG00000253327,1.055307898526816,1.055307898526816
ENSG00000278009,1.055173146070683,1.055173146070683
ENSG00000228897,1.055156025789197,1.055156025789197
ENSG00000182899,1.054330864628215,1.054330864628215
ENSG00000137814,1.0533305934628108,1.0533305934628108
ENSG00000287402,1.0528449759328684,1.0528449759328684
ENSG00000185480,1.0525402893376306,1.0525402893376306
ENSG00000213453,1.052129952344961,1.052129952344961
ENSG00000276096,1.0514542561496238,1.0514542561496238
ENSG00000147649,1.0508137126022636,1.0508137126022636
ENSG00000284707,1.0505348434715682,1.0505348434715682
ENSG00000027697,1.0488509361811733,1.0488509361811733
ENSG00000140905,1.0484649516255256,1.0484649516255256
ENSG00000108452,1.047948149991497,1.047948149991497
ENSG00000196839,1.0460367269559652,1.0460367269559652
ENSG00000185627,1.045895014589296,1.045895014589296
ENSG00000135205,1.0457460564190246,1.0457460564190246
ENSG00000089050,1.0423300917350073,1.0423300917350073
ENSG00000170468,1.0408515529380864,1.0408515529380864
ENSG00000260317,1.0396346380986836,1.0396346380986836
ENSG00000177054,1.0381685777085872,1.0381685777085872
ENSG00000170549,1.038000629170262,1.038000629170262
ENSG00000102128,1.036021996410253,1.036021996410253
ENSG00000125746,1.0347309712845907,1.0347309712845907
ENSG00000198237,1.0332858034532815,1.0332858034532815
ENSG00000116649,1.0331795120233505,1.0331795120233505
ENSG00000230191,1.0329236015603467,1.0329236015603467
ENSG00000236111,1.03094454045373,1.03094454045373
ENSG00000090971,1.030204702638511,1.030204702638511
ENSG00000272236,1.030026818329605,1.030026818329605
ENSG00000178498,1.0288172795523138,1.0288172795523138
ENSG00000203387,1.0275372295652967,1.0275372295652967
ENSG00000231804,1.0261598434290296,1.0261598434290296
ENSG00000144306,1.025911476708853,1.025911476708853
ENSG00000105583,1.025207444213716,1.025207444213716
ENSG00000137177,1.022923461529548,1.022923461529548
ENSG00000149634,1.0227127203012734,1.0227127203012734
ENSG00000286835,1.0225583324949394,1.0225583324949394
ENSG00000262732,1.0206617292958575,1.0206617292958575
ENSG00000100601,1.018128123759145,1.018128123759145
ENSG00000080371,1.01782110175503,1.01782110175503
ENSG00000127946,1.016384815118465,1.016384815118465
ENSG00000138594,1.0149385986937631,1.0149385986937631
ENSG00000122482,1.0130768472922989,1.0130768472922989
ENSG00000106012,1.0113475391000075,1.0113475391000075
ENSG00000106459,1.011220758855137,1.011220758855137
ENSG00000196372,1.0106978789984673,1.0106978789984673
ENSG00000156642,1.0098102618559313,1.0098102618559313
ENSG00000224908,1.008635402900865,1.008635402900865
ENSG00000100241,1.0078583256475444,1.0078583256475444
ENSG00000245149,1.0078192743363268,1.0078192743363268
ENSG00000104361,1.007388939915821,1.007388939915821
ENSG00000166086,1.006679396230814,1.006679396230814
ENSG00000236890,1.0053836045646325,1.0053836045646325
ENSG00000278999,1.004764758022235,1.004764758022235
ENSG00000214078,1.0045384372507717,1.0045384372507717
ENSG00000160602,1.0042438267861447,1.0042438267861447
ENSG00000282732,-1.0026781093033106,1.0026781093033106
ENSG00000145354,1.0019937844297064,1.0019937844297064
ENSG00000189166,1.0016195600543505,1.0016195600543505
ENSG00000204438,0.9990000894292026,0.9990000894292026
ENSG00000083520,0.9989755340831795,0.9989755340831795
ENSG00000149050,0.9976350239797114,0.9976350239797114
ENSG00000273216,0.9974778913569573,0.9974778913569573
ENSG00000197448,0.9973329698123107,0.9973329698123107
ENSG00000223908,0.9970499923217497,0.9970499923217497
ENSG00000272915,0.9959673334993556,0.9959673334993556
ENSG00000059378,0.9930980204984223,0.9930980204984223
ENSG00000180245,0.992087138178157,0.992087138178157
ENSG00000092470,0.9917992872760225,0.9917992872760225
ENSG00000183431,0.9908378103107496,0.9908378103107496
ENSG00000138768,0.9904676967822684,0.9904676967822684
ENSG00000173401,0.9881859351087751,0.9881859351087751
ENSG00000164142,0.9871224136427417,0.9871224136427417
ENSG00000234084,0.9819173706127812,0.9819173706127812
ENSG00000156482,0.9792144398501845,0.9792144398501845
ENSG00000129667,0.9784192213968689,0.9784192213968689
ENSG00000072849,0.9781561734446628,0.9781561734446628
ENSG00000204371,0.9711422334353641,0.9711422334353641
ENSG00000211878,0.9649139400046368,0.9649139400046368
ENSG00000286118,0.964699680673253,0.964699680673253
ENSG00000284031,0.9635186810186227,0.9635186810186227
ENSG00000186665,0.9626966233806239,0.9626966233806239
ENSG00000109099,0.9623440365457616,0.9623440365457616
ENSG00000078618,0.9616723085184804,0.9616723085184804
ENSG00000111641,0.9614758452917994,0.9614758452917994
ENSG00000187566,0.960631483993919,0.960631483993919
ENSG00000229091,0.9589234915232838,0.9589234915232838
ENSG00000260917,0.9583636614078075,0.9583636614078075
ENSG00000271268,0.9582268113303314,0.9582268113303314
ENSG00000185361,0.9573278134749261,0.9573278134749261
ENSG00000229348,0.9555922923983196,0.9555922923983196
ENSG00000186184,0.9522937740223344,0.9522937740223344
ENSG00000272109,0.951644727997439,0.951644727997439
ENSG00000140995,0.9509000988881918,0.9509000988881918
ENSG00000167595,0.950075695686658,0.950075695686658
ENSG00000142230,0.9487734709334044,0.9487734709334044
ENSG00000241563,0.9480500584177849,0.9480500584177849
ENSG00000174177,0.9479646791717319,0.9479646791717319
ENSG00000257350,0.9463676784663504,0.9463676784663504
ENSG00000249866,0.9448125962444746,0.9448125962444746
ENSG00000224646,0.9414197356635138,0.9414197356635138
ENSG00000123975,0.9411502723661194,0.9411502723661194
