File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Tissue Type	Tumor Descriptor	Specimen Type	Preservation Method
4eba08a1-6ecf-407f-bf42-8991bd49864b	389c7991-f1e4-46d9-b6de-dd06ebcb69cf.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-MESO	TCGA-UD-AAC7	TCGA-UD-AAC7-01A	Tumor	Primary	Solid Tissue	OCT
748bab63-4f51-420e-a1fe-6361a58bb945	1e0d0d56-e8d4-4576-a700-02a9973f74e9.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-MESO	TCGA-MQ-A6BR	TCGA-MQ-A6BR-01A	Tumor	Primary	Solid Tissue	OCT
b73032e5-a0d3-4606-b8b6-b00689f25a27	527610a7-742e-4cc6-a220-01c2290f0322.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-MESO	TCGA-TS-A7OY	TCGA-TS-A7OY-01A	Tumor	Primary	Solid Tissue	OCT
e29783ea-e7bb-4d32-a20e-cb1c2125abcc	f1360666-5924-46bd-b50c-9f6bb012793c.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-MESO	TCGA-TS-A7P1	TCGA-TS-A7P1-01A	Tumor	Primary	Solid Tissue	OCT
2f03ed73-ff97-4e1e-b0e9-60f11172e012	4d6a1b8f-ce22-4411-b365-a79b981393a7.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-MESO	TCGA-MQ-A4KX	TCGA-MQ-A4KX-01A	Tumor	Primary	Solid Tissue	OCT
828c5522-48fa-464b-a3cf-c789390e3a87	2714dd53-cd96-48f1-8e00-6654125132a6.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-MESO	TCGA-LK-A4O2	TCGA-LK-A4O2-01A	Tumor	Primary	Solid Tissue	OCT
0ec0ce74-71e3-47b7-a7ac-5673aafcb9a8	23aeb352-2db1-45f6-9a33-8523bfb25b1e.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-MESO	TCGA-SH-A7BD	TCGA-SH-A7BD-01A	Tumor	Primary	Solid Tissue	OCT
e26aef43-1292-4a0c-9503-713450bb4248	bc841151-9b2a-4b22-9ef9-3288d330ab60.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-MESO	TCGA-TS-A7OU	TCGA-TS-A7OU-01B	Tumor	Primary	Solid Tissue	OCT
c120e226-0fbe-41dd-8141-3a3ae08d5781	7beb4fc3-3fe4-4f5c-bf78-f1660af53ea8.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-MESO	TCGA-3U-A98J	TCGA-3U-A98J-01A	Tumor	Primary	Solid Tissue	OCT
8c4fb76d-c694-44c7-9287-0c0ff96ae8fc	9501afaa-5991-4843-a47b-aea632549508.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-MESO	TCGA-TS-A8AF	TCGA-TS-A8AF-01A	Tumor	Primary	Solid Tissue	OCT
e2184afe-0344-4764-bf2f-3f790f276daf	ac18822e-e2cd-4488-a4bf-d841944b0b6e.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-MESO	TCGA-SC-A6LR	TCGA-SC-A6LR-01A	Tumor	Primary	Solid Tissue	OCT
b0c97b53-9257-4c89-8a77-aed37d3eab0f	e9b5b625-561f-4d0e-bdbc-244bacc1d11a.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-MESO	TCGA-3U-A98G	TCGA-3U-A98G-01A	Tumor	Primary	Solid Tissue	OCT
05c205cf-6a9b-48f7-ba1c-343000d13d9d	d0d2f5f3-6c02-49cd-bf70-7e71b0df7de6.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-MESO	TCGA-3H-AB3U	TCGA-3H-AB3U-01A	Tumor	Primary	Solid Tissue	Unknown
53125fc7-4910-40e1-ac4b-2444cb978049	06dcf4a5-6c31-4c7a-8ad3-d757fa1dab67.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-MESO	TCGA-3U-A98D	TCGA-3U-A98D-01A	Tumor	Primary	Solid Tissue	OCT
36ffc007-e956-4e1f-8a8a-17bf8970b658	fcde7810-8fa6-4e14-a89e-a168b4f7c2bf.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-MESO	TCGA-TS-A7PB	TCGA-TS-A7PB-01A	Tumor	Primary	Solid Tissue	OCT
c127d688-a3b7-4cbd-8a32-5839a217eb60	15eb0978-332b-474b-9222-4515831400b9.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-MESO	TCGA-ZN-A9VV	TCGA-ZN-A9VV-01A	Tumor	Primary	Solid Tissue	OCT
e79fe7e0-b092-45e5-8662-ef48cf7523a5	0d127d8f-ffbf-4dbf-b058-69ed99cbb545.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-MESO	TCGA-MQ-A6BQ	TCGA-MQ-A6BQ-01A	Tumor	Primary	Solid Tissue	OCT
a1281f8e-f00e-4001-a6f5-9087c787a09f	525c50e4-f770-43ff-bac8-73577dcbaee5.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-MESO	TCGA-TS-A7P0	TCGA-TS-A7P0-01A	Tumor	Primary	Solid Tissue	OCT
9953ebd4-c6b5-4464-a67b-e57080cabd65	c384c1c1-8e13-47b2-8189-427562fa9807.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-MESO	TCGA-TS-A8AV	TCGA-TS-A8AV-01A	Tumor	Primary	Solid Tissue	OCT
9c7e544a-b4ee-4776-9cf1-71d6708530a4	142e610a-a19a-4bba-b013-e44da732b0ca.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-MESO	TCGA-ZN-A9VU	TCGA-ZN-A9VU-01A	Tumor	Primary	Solid Tissue	OCT
ff23600b-9cf1-43b1-9805-135c14c39e67	45a9e3a3-3828-4dc9-9230-9cfbdd3d44b0.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-MESO	TCGA-ZN-A9VQ	TCGA-ZN-A9VQ-01A	Tumor	Primary	Solid Tissue	OCT
